Department,SheetNo.,SheetName,ActionType,Item Code,Item Name,Upload date,Trans.Status,PersonalName,Trans.Date,Trans.Time,Deletion,Deletion date
NonPharma,NVlbGp3Yfg,مشاكل اماكن وسيطة,Edit,8904117400314,TULIPS COTTON SWABS 100PCS,,Done,10000522,14/09/2026,18:33:54,OK,2026-09-22 15:32:35
NonPharma,OLPLuiyuNx,اصناف بدون جروب وتسكين طلبيات اليوم,Edit,5281018719107,BEESLINE(F.FREE+I.WHITE)DEO R.ON 50M1+1@,,Done,OS000001,16.09.2026,13:19:00,OK,
NonPharma,OLPLuiyuNx,اصناف بدون جروب وتسكين طلبيات اليوم,Edit,3206285,PURITANS P.L-ARGININE 1000MG 100/CAP+▓,,Done,OS000001,16.09.2026,13:19:00,OK,
NonPharma,OLPLuiyuNx,اصناف بدون جروب وتسكين طلبيات اليوم,Edit,3701129800850,BIODERMA SENS.MOUS.MIC.CLEAN.FOA.GEL100M,,Done,OS000001,16.09.2026,13:19:00,OK,
NonPharma,OLPLuiyuNx,اصناف بدون جروب وتسكين طلبيات اليوم,Edit,800307854531,KINETICS SOLARGEL NAIL POLISH/256,,Done,OS000001,16.09.2026,13:19:00,OK,
NonPharma,OLPLuiyuNx,اصناف بدون جروب وتسكين طلبيات اليوم,Edit,3574661680729,OGX COLOUR RETENTION COND.385M,,Done,OS000001,16.09.2026,13:19:00,OK,
NonPharma,OLPLuiyuNx,اصناف بدون جروب وتسكين طلبيات اليوم,Edit,3574661680705,OGX COLOUR RETENTION SHAMP.385M,,Done,OS000001,16.09.2026,13:19:00,OK,
NonPharma,OLPLuiyuNx,اصناف بدون جروب وتسكين طلبيات اليوم,Edit,6221155091628,SIGNAL TRIPLE CLEAN T.BR.MEDIUM2PCS20%@#,,Done,OS000001,16.09.2026,13:19:00,OK,
NonPharma,OLPLuiyuNx,اصناف بدون جروب وتسكين طلبيات اليوم,Edit,6251001239157,FINE CARE INCONTINENCE(M)(75-110CM)40PC#,,Done,OS000001,16.09.2026,13:19:00,OK,
NonPharma,OLPLuiyuNx,اصناف بدون جروب وتسكين طلبيات اليوم,Edit,3702861,CANNULA 18G GREEN(VASOFIX B BRAUN)▓,,Done,OS000001,16.09.2026,13:19:00,OK,
NonPharma,OLPLuiyuNx,اصناف بدون جروب وتسكين طلبيات اليوم,Edit,79400352934,DOVE AD.CA.BEA.FINISH 72H DEO.STICK 74G!,,Done,OS000001,16.09.2026,13:19:00,OK,
NonPharma,OLPLuiyuNx,اصناف بدون جروب وتسكين طلبيات اليوم,Edit,8436562290191,ROOFA BLACK&WHITEHEADS REMOVER/019BC,,Done,OS000001,16.09.2026,13:19:00,OK,
NonPharma,OLPLuiyuNx,اصناف بدون جروب وتسكين طلبيات اليوم,Edit,370582,VENOSAN 7002 AD CCL2 XL▓,,Done,OS000001,16.09.2026,13:19:00,OK,
NonPharma,OLPLuiyuNx,اصناف بدون جروب وتسكين طلبيات اليوم,Edit,3702862,CANNULA 20G PINK(VASOFIX B BRAUN)▓,,Done,OS000001,16.09.2026,13:19:00,OK,
NonPharma,OLPLuiyuNx,اصناف بدون جروب وتسكين طلبيات اليوم,Edit,3701268,SOFT CARE ACT.GEL TOE SPREADER(M)GA9013▓,,Done,OS000001,16.09.2026,13:19:00,OK,
NonPharma,OLPLuiyuNx,اصناف بدون جروب وتسكين طلبيات اليوم,Edit,110,COTTON MEDICAL 100G,,Done,OS000001,16.09.2026,13:19:00,OK,
NonPharma,OLPLuiyuNx,اصناف بدون جروب وتسكين طلبيات اليوم,Edit,8022297059952,PRECIOUS NATURE P.PEAR&ORANG.SHAMP.250M#,,Done,OS000001,16.09.2026,13:19:00,OK,
NonPharma,OLPLuiyuNx,اصناف بدون جروب وتسكين طلبيات اليوم,Edit,3211030,HERO ORS 200M ORAL REH.SOLU.W/STRAWBE.+▓,,Done,OS000001,16.09.2026,13:19:00,OK,
NonPharma,OLPLuiyuNx,اصناف بدون جروب وتسكين طلبيات اليوم,Edit,2708615,CLARY PROC.(SHAMP.+COND.)300M@,,Done,OS000001,16.09.2026,13:19:00,OK,
NonPharma,OLPLuiyuNx,اصناف بدون جروب وتسكين طلبيات اليوم,Edit,281335,ISIS ANISE 12/FILTER▓,,Done,OS000001,16.09.2026,13:19:00,OK,
NonPharma,OLPLuiyuNx,اصناف بدون جروب وتسكين طلبيات اليوم,Edit,6225000413047,DERMABOND SUNCREA.SPF(50+) VIT C&E 75ML#,,Done,OS000001,16.09.2026,13:19:00,OK,
NonPharma,OLPLuiyuNx,اصناف بدون جروب وتسكين طلبيات اليوم,Edit,5903407226392,CANPOL SILICONE SOOTHER (0-6)M/22/639#,,Done,OS000001,16.09.2026,13:19:00,OK,
